=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.13 14:50:52 =~=~=~=~=~=~=~=~=~=~=~=
Jig Started!
Jig Started!
0.00,0.02,0.02,-0.02,-0.02,PASS
-0.09,0.03,-0.07,0.60,-0.45,FAIL
-0.30,0.10,-0.24,0.70,-0.28,FAIL
-0.14,0.05,-0.12,0.35,-0.14,PASS
-0.14,0.05,-0.12,0.35,-0.14,PASS
-0.14,0.05,-0.12,0.35,-0.14,PASS
-0.12,0.00,-0.15,0.40,-0.14,PASS
525.32,-2102.04,525.35,525.79,525.60,INVALID MEASUREMENT
-0.16,-0.16,-0.13,0.31,0.12,PASS
0.01,-0.00,-0.14,0.15,-0.00,PASS
-0.06,0.05,-0.10,0.47,-0.35,PASS
-144.39,-144.25,576.96,-143.88,-144.43,INVALID MEASUREMENT
-0.12,0.03,-0.13,0.40,-0.16,PASS
-0.01,0.04,-0.14,0.44,-0.33,PASS
-0.04,-0.05,-0.03,0.39,-0.28,PASS
-0.14,0.11,-0.20,0.47,-0.25,PASS
-0.04,-0.01,-0.02,0.35,-0.27,PASS
-0.10,0.06,-0.09,0.36,-0.24,PASS
1.04,0.98,-4.22,1.44,0.76,INVALID MEASUREMENT
-0.01,-0.07,-0.02,0.39,-0.28,PASS
-0.03,0.05,-0.14,0.36,-0.23,PASS
-0.02,-0.08,-0.02,0.34,-0.22,PASS
1140.45,-285.15,-284.96,-284.80,-285.56,INVALID MEASUREMENT
0.09,-0.05,0.13,0.29,-0.47,PASS
0.30,-0.32,0.09,-0.01,-0.06,PASS
0.14,-0.17,0.10,0.22,-0.31,PASS
0.34,-0.39,0.23,-0.01,-0.19,PASS
0.12,-0.13,-0.06,0.21,-0.14,PASS
-653.97,-654.48,-654.02,2616.76,-654.29,INVALID MEASUREMENT
0.22,-0.29,0.17,0.00,-0.10,PASS
-0.04,-0.04,-0.10,0.27,-0.09,PASS
0.12,-0.28,-0.06,0.19,0.03,PASS
0.15,-0.25,0.13,0.01,-0.02,PASS
0.26,-0.35,0.24,-0.02,-0.14,PASS
-0.07,-0.13,-0.11,0.28,0.03,PASS
0.11,-0.20,-0.07,0.18,-0.02,PASS
0.19,-0.30,0.22,0.03,-0.12,PASS
0.04,-0.07,-0.03,0.28,-0.20,PASS
0.14,-0.19,0.00,0.15,-0.11,PASS
-482.25,-482.20,1928.75,-481.85,-482.44,INVALID MEASUREMENT
525.45,525.50,525.52,-2101.72,525.26,INVALID MEASUREMENT
-308.62,-308.57,-308.55,1234.54,-308.81,INVALID MEASUREMENT
-0.06,-0.02,0.00,0.34,-0.26,PASS
2540.17,-75.45,-75.57,-2313.61,-75.54,INVALID MEASUREMENT
-0.06,-0.02,-0.14,0.35,-0.11,PASS
0.09,-0.32,0.15,0.22,-0.16,PASS
0.04,-0.13,-0.07,0.23,-0.09,PASS
1.33,0.87,-4.51,1.21,1.11,INVALID MEASUREMENT
0.19,-0.26,0.02,0.08,-0.03,PASS
0.24,-0.45,0.37,-0.09,-0.05,PASS
0.23,-0.32,0.20,0.16,-0.29,PASS
-523.11,-523.28,2092.48,-522.91,-523.18,INVALID MEASUREMENT
0.01,-0.16,-0.00,0.22,-0.06,PASS
0.24,-0.37,0.22,-0.07,-0.03,PASS
0.38,-0.41,-0.00,-0.15,0.19,PASS
0.13,-0.32,0.28,0.21,-0.28,PASS
0.03,-0.08,-0.13,0.23,-0.04,PASS
-0.03,-0.19,-0.04,0.25,0.02,PASS
0.23,-0.32,0.16,-0.06,0.01,PASS
0.17,-0.20,0.16,0.21,-0.34,PASS
-1206.95,-1207.39,4828.68,-1207.02,-1207.33,INVALID MEASUREMENT
0.19,-0.25,0.13,0.12,-0.18,PASS
1.25,0.69,1.18,-4.33,1.19,INVALID MEASUREMENT
0.20,-0.36,0.13,-0.12,0.15,PASS
0.15,-0.31,0.03,0.05,0.10,PASS
=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.13 15:41:51 =~=~=~=~=~=~=~=~=~=~=~=
Jig Started!
Jig Started!
6282.25,-1570.82,-1570.40,-1570.18,-1570.86,INVALID MEASUREMENT
0.19,-0.18,0.04,0.14,-0.20,PASS
0.13,-0.22,0.08,0.20,-0.18,PASS
0.08,-0.10,0.02,0.18,-0.16,PASS
0.04,-0.12,-0.13,0.19,0.04,PASS
0.11,-0.03,0.21,0.13,-0.44,PASS
-0.23,0.14,-0.20,0.26,0.04,PASS
0.32,-0.29,0.33,0.20,-0.55,PASS
0.17,-0.12,0.13,0.26,-0.43,PASS
0.10,-0.06,0.05,0.24,-0.31,PASS
-0.27,0.68,-0.18,-0.17,-0.04,FAIL
-19.21,76.44,-19.27,-18.95,-18.99,INVALID MEASUREMENT
-1153.87,-1153.77,-1153.93,4615.22,-1153.64,INVALID MEASUREMENT
-0.10,-0.01,-0.18,0.16,0.13,PASS
1.07,-0.78,0.56,-0.50,-0.34,FAIL
-311.53,1246.26,-311.65,-311.61,-311.46,INVALID MEASUREMENT
0.08,-0.18,-0.03,-0.00,0.15,PASS
-0.28,0.07,-0.37,0.41,0.18,PASS
657.68,657.55,652.18,-2625.00,657.58,INVALID MEASUREMENT
-0.05,-0.17,0.09,0.26,-0.15,PASS
0.10,-0.38,-0.03,0.37,-0.07,PASS
0.04,-0.11,0.02,0.18,-0.15,PASS
0.09,-0.08,0.10,0.29,-0.38,PASS
