Ref,Val,Package,PosX,PosY,Rot,Side
"J5","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",-26.670000,136.750000,0.000000,bottom
"J5","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",-26.670000,116.750000,0.000000,bottom
"J5","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",-26.670000,96.750000,0.000000,bottom
"J5","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",-26.670000,76.750000,0.000000,bottom
"J5","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",-26.670000,56.750000,0.000000,bottom
"J5","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",-26.670000,36.750000,0.000000,bottom
"J5","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",-26.670000,16.750000,0.000000,bottom
"J5","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",-26.670000,-3.250000,0.000000,bottom
"J6","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",26.670000,136.750000,0.000000,bottom
"J6","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",26.670000,116.750000,0.000000,bottom
"J6","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",26.670000,96.750000,0.000000,bottom
"J6","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",26.670000,76.750000,0.000000,bottom
"J6","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",26.670000,56.750000,0.000000,bottom
"J6","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",26.670000,36.750000,0.000000,bottom
"J6","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",26.670000,16.750000,0.000000,bottom
"J6","FFC_Conn_01x08_combine_pins2","J_FFC_1x8_Solder_3common",26.670000,-3.250000,0.000000,bottom
